orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,Freight,productID,unitPrice,quantity,discount,companyName,contactName,contactTitle,employees.lastName,employees.firstName,employees.title,productName,supplierID,categoryID,quantityPerUnit,unitPrice.1,unitsInStock,unitsOnOrder,reorderLevel,discontinued,categoryName,suppliers.companyName,suppliers.contactName,suppliers.contactTitle
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,5,17,12,0.2,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Callahan,Laura,Inside Sales Coordinator,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,0,0,0,1,Condiments,New Orleans Cajun Delights,Shelley Burke,Order Administrator
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,7,24,15,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Callahan,Laura,Inside Sales Coordinator,Uncle Bob's Organic Dried Pears,3,7,12 - 1 lb pkgs.,30,15,0,10,0,Produce,Grandma Kelly's Homestead,Regina Murphy,Sales Representative
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,14,18.6,9,0,Toms Spezialitäten,Karin Josephs,Marketing Manager,Suyama,Michael,Sales Representative,Tofu,6,7,40 - 100 g pkgs.,23.25,35,0,0,0,Produce,Mayumi's,Mayumi Ohno,Marketing Representative
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.69,63,35.1,8,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Callahan,Laura,Inside Sales Coordinator,Vegie-spread,7,2,15 - 625 g jars,43.9,24,0,5,0,Condiments,Pavlova, Ltd.,Ian Devling
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,42,9.8,10,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Buchanan,Steven,Sales Manager,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14,26,0,0,1,Grains/Cereals,Leka Trading,Chandra Leka,Owner
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.69,44,15.5,16,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Callahan,Laura,Inside Sales Coordinator,Gula Malacca,20,2,20 - 2 kg bags,19.45,27,0,15,0,Condiments,Leka Trading,Chandra Leka,Owner
10274,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,6.01,71,17.2,20,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Suyama,Michael,Sales Representative,Flotemysost,15,4,10 - 500 g pkgs.,21.5,26,0,0,0,Dairy Products,Norske Meierier,Beate Vileid,Marketing Manager
10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,8.98,24,3.6,12,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Fuller,Andrew,"Vice President, Sales",Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Beverages,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,24,3.6,15,0.15,Chop-suey Chinese,Yang Wang,Owner,Buchanan,Steven,Sales Manager,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Beverages,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,24,3.6,28,0,Ernst Handel,Roland Mendel,Sales Manager,Dodsworth,Anne,Sales Representative,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Beverages,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager
10275,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,1,26.93,24,3.6,12,0.05,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Davolio,Nancy,Sales Representative,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,20,0,0,1,Beverages,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,51,42.4,40,0,Toms Spezialitäten,Karin Josephs,Marketing Manager,Suyama,Michael,Sales Representative,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53,20,0,10,0,Produce,G'day, Mate,Wendy Mackenzie
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,51,42.4,35,0.15,Hanari Carnes,Mario Pontes,Accounting Manager,Peacock,Margaret,Sales Representative,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53,20,0,10,0,Produce,G'day, Mate,Wendy Mackenzie
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.69,73,12,25,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Callahan,Laura,Inside Sales Coordinator,Röd Kaviar,17,8,24 - 150 g jars,15,101,0,5,0,Seafood,Svensk Sjöföda AB,Michael Björn,Sales Representative
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.69,59,44,15,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Callahan,Laura,Inside Sales Coordinator,Raclette Courdavault,28,4,5 kg pkg.,55,79,0,0,0,Dairy Products,Gai pâturage,Eliane Noz,Sales Representative
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,59,44,30,0,Richter Supermarkt,Michael Holz,Sales Manager,Dodsworth,Anne,Sales Representative,Raclette Courdavault,28,4,5 kg pkg.,55,79,0,0,0,Dairy Products,Gai pâturage,Eliane Noz,Sales Representative
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,208.58,59,44,70,0.15,Frankenversand,Peter Franken,Marketing Manager,Peacock,Margaret,Sales Representative,Raclette Courdavault,28,4,5 kg pkg.,55,79,0,0,0,Dairy Products,Gai pâturage,Eliane Noz,Sales Representative
10275,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,1,26.93,59,44,6,0.05,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Davolio,Nancy,Sales Representative,Raclette Courdavault,28,4,5 kg pkg.,55,79,0,0,0,Dairy Products,Gai pâturage,Eliane Noz,Sales Representative
10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,8.98,55,19.2,20,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Fuller,Andrew,"Vice President, Sales",Pâté chinois,25,6,24 boxes x 2 pies,24,115,0,20,0,Meat/Poultry,Ma Maison,Jean-Guy Lauzon,Marketing Manager
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,55,19.2,21,0.15,Chop-suey Chinese,Yang Wang,Owner,Buchanan,Steven,Sales Manager,Pâté chinois,25,6,24 boxes x 2 pies,24,115,0,20,0,Meat/Poultry,Ma Maison,Jean-Guy Lauzon,Marketing Manager
10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,8.98,75,6.2,30,0,Berglunds snabbköp,Christina Berglund,Order Administrator,Fuller,Andrew,"Vice President, Sales",Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,125,0,25,0,Beverages,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,41,7.7,10,0,Hanari Carnes,Mario Pontes,Accounting Manager,Peacock,Margaret,Sales Representative,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Seafood,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,3.67,41,7.7,25,0.15,Folk och fä HB,Maria Larsson,Owner,Suyama,Michael,Sales Representative,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Seafood,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,41,7.7,16,0.25,Ottilies Käseladen,Henriette Pfalzheim,Owner,Peacock,Margaret,Sales Representative,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,85,0,10,0,Seafood,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent
10283,LILAS,3,1996-08-16,1996-09-13,1996-08-23,3,84.81,15,12.4,20,0,LILA-Supermercado,Carlos González,Accounting Manager,Leverling,Janet,Sales Representative,Genen Shouyu,6,2,24 - 250 ml bottles,15.5,39,0,5,0,Condiments,Mayumi's,Mayumi Ohno,Marketing Representative
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,16,13.9,60,0.25,Ernst Handel,Roland Mendel,Sales Manager,Dodsworth,Anne,Sales Representative,Pavlova,7,3,32 - 500 g boxes,17.45,29,0,10,0,Confections,Pavlova, Ltd.,Ian Devling
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,16,13.9,35,0,Richter Supermarkt,Michael Holz,Sales Manager,Dodsworth,Anne,Sales Representative,Pavlova,7,3,32 - 500 g boxes,17.45,29,0,10,0,Confections,Pavlova, Ltd.,Ian Devling
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,65,16.8,15,0.15,Hanari Carnes,Mario Pontes,Accounting Manager,Peacock,Margaret,Sales Representative,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0,Condiments,New Orleans Cajun Delights,Shelley Burke,Order Administrator
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,65,16.8,20,0,Victuailles en stock,Mary Saveley,Sales Agent,Leverling,Janet,Sales Representative,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,76,0,0,0,Condiments,New Orleans Cajun Delights,Shelley Burke,Order Administrator
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,55.28,17,31.2,30,0,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Fuller,Andrew,"Vice President, Sales",Alice Mutton,7,6,20 - 1 kg tins,39,0,0,0,1,Meat/Poultry,Pavlova, Ltd.,Ian Devling
10279,LEHMS,8,1996-08-13,1996-09-10,1996-08-16,2,25.83,17,31.2,15,0.25,Lehmanns Marktstand,Renate Messner,Sales Representative,Callahan,Laura,Inside Sales Coordinator,Alice Mutton,7,6,20 - 1 kg tins,39,0,0,0,1,Meat/Poultry,Pavlova, Ltd.,Ian Devling
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,31,10,20,0,Hanari Carnes,Mario Pontes,Accounting Manager,Leverling,Janet,Sales Representative,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,98.03,31,10,40,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Suyama,Michael,Sales Representative,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,39,14.4,42,0,Hanari Carnes,Mario Pontes,Accounting Manager,Leverling,Janet,Sales Representative,Chartreuse verte,18,1,750 cc per bottle,18,69,0,5,0,Beverages,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,39,14.4,6,0,HILARION-Abastos,Carlos Hernández,Sales Representative,Peacock,Margaret,Sales Representative,Chartreuse verte,18,1,750 cc per bottle,18,69,0,5,0,Beverages,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,49,16,40,0,Hanari Carnes,Mario Pontes,Accounting Manager,Leverling,Janet,Sales Representative,Maxilaku,23,3,24 - 50 g pkgs.,20,10,60,15,0,Confections,Karkki Oy,Anne Heikkonen,Product Manager
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,20,64.8,40,0.05,Suprêmes délices,Pascale Cartrain,Accounting Manager,Peacock,Margaret,Sales Representative,Sir Rodney's Marmalade,8,3,30 gift boxes,81,40,0,0,0,Confections,Specialty Biscuits, Ltd.,Peter Wilson
10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,98.03,20,64.8,6,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Suyama,Michael,Sales Representative,Sir Rodney's Marmalade,8,3,30 gift boxes,81,40,0,0,0,Confections,Specialty Biscuits, Ltd.,Peter Wilson
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,21,8,10,0,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Peacock,Margaret,Sales Representative,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10,3,40,5,0,Confections,Specialty Biscuits, Ltd.,Peter Wilson
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,21,8,20,0,Que Delícia,Bernardo Batista,Accounting Manager,Peacock,Margaret,Sales Representative,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10,3,40,5,0,Confections,Specialty Biscuits, Ltd.,Peter Wilson
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,55.28,70,12,20,0,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Fuller,Andrew,"Vice President, Sales",Outback Lager,7,1,24 - 355 ml bottles,15,15,10,30,0,Beverages,Pavlova, Ltd.,Ian Devling
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,70,12,21,0.25,Ottilies Käseladen,Henriette Pfalzheim,Owner,Peacock,Margaret,Sales Representative,Outback Lager,7,1,24 - 355 ml bottles,15,15,10,30,0,Beverages,Pavlova, Ltd.,Ian Devling
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,22,16.8,6,0.05,Victuailles en stock,Mary Saveley,Sales Agent,Leverling,Janet,Sales Representative,Gustaf's Knäckebröd,9,5,24 - 500 g pkgs.,21,104,0,25,0,Grains/Cereals,PB Knäckebröd AB,Lars Peterson,Sales Agent
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,57,15.6,15,0.05,Victuailles en stock,Mary Saveley,Sales Agent,Leverling,Janet,Sales Representative,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,36,0,20,0,Grains/Cereals,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,57,15.6,50,0,Ottilies Käseladen,Henriette Pfalzheim,Owner,Peacock,Margaret,Sales Representative,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,36,0,20,0,Grains/Cereals,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,33,2,25,0.05,Suprêmes délices,Pascale Cartrain,Accounting Manager,Peacock,Margaret,Sales Representative,Geitost,15,4,500 g,2.5,112,0,20,0,Dairy Products,Norske Meierier,Beate Vileid,Marketing Manager
10269,WHITC,5,1996-07-31,1996-08-14,1996-08-09,1,4.56,33,2,60,0.05,White Clover Markets,Karl Jablonski,Owner,Buchanan,Steven,Sales Manager,Geitost,15,4,500 g,2.5,112,0,20,0,Dairy Products,Norske Meierier,Beate Vileid,Marketing Manager
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,27,35.1,25,0,HILARION-Abastos,Carlos Hernández,Sales Representative,Peacock,Margaret,Sales Representative,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,49,0,30,0,Confections,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,60,27.2,40,0,Suprêmes délices,Pascale Cartrain,Accounting Manager,Peacock,Margaret,Sales Representative,Camembert Pierrot,28,4,15 - 300 g rounds,34,19,0,0,0,Dairy Products,Gai pâturage,Eliane Noz,Sales Representative
10277,MORGK,2,1996-08-09,1996-09-06,1996-08-13,3,125.77,28,36.4,20,0,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Fuller,Andrew,"Vice President, Sales",Rössle Sauerkraut,12,7,25 - 825 g cans,45.6,26,0,0,1,Produce,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.
10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,66.29,29,99,10,0,GROSELLA-Restaurante,Manuel Pereira,Owner,Callahan,Laura,Inside Sales Coordinator,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,0,0,0,1,Meat/Poultry,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,37,20.8,1,0,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Peacock,Margaret,Sales Representative,Gravad lax,17,8,12 - 500 g pkgs.,26,11,50,25,0,Seafood,Svensk Sjöföda AB,Michael Björn,Sales Representative
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,30,20.7,60,0.25,Ernst Handel,Roland Mendel,Sales Manager,Dodsworth,Anne,Sales Representative,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,10,0,15,0,Seafood,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,32,25.6,6,0.2,Ernst Handel,Roland Mendel,Sales Manager,Davolio,Nancy,Sales Representative,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32,9,40,25,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,74,8,21,0,Chop-suey Chinese,Yang Wang,Owner,Buchanan,Steven,Sales Manager,Longlife Tofu,4,7,5 kg pkg.,10,4,20,5,0,Produce,Tokyo Traders,Yoshi Nagase,Marketing Manager
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,74,8,36,0.25,Ernst Handel,Roland Mendel,Sales Manager,Dodsworth,Anne,Sales Representative,Longlife Tofu,4,7,5 kg pkg.,10,4,20,5,0,Produce,Tokyo Traders,Yoshi Nagase,Marketing Manager
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,35,14.4,20,0,Que Delícia,Bernardo Batista,Accounting Manager,Peacock,Margaret,Sales Representative,Steeleye Stout,16,1,24 - 12 oz bottles,18,20,0,15,0,Beverages,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,36,15.2,25,0,Richter Supermarkt,Michael Holz,Sales Manager,Dodsworth,Anne,Sales Representative,Inlagd Sill,17,8,24 - 250 g  jars,19,112,0,20,0,Seafood,Svensk Sjöföda AB,Michael Björn,Sales Representative
10270,WARTH,1,1996-08-01,1996-08-29,1996-08-02,1,136.54,36,15.2,30,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Davolio,Nancy,Sales Representative,Inlagd Sill,17,8,24 - 250 g  jars,19,112,0,20,0,Seafood,Svensk Sjöföda AB,Michael Björn,Sales Representative
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,208.58,40,14.7,50,0,Frankenversand,Peter Franken,Marketing Manager,Peacock,Margaret,Sales Representative,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,123,0,30,0,Seafood,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent
10270,WARTH,1,1996-08-01,1996-08-29,1996-08-02,1,136.54,43,36.8,25,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Davolio,Nancy,Sales Representative,Ipoh Coffee,20,1,16 - 500 g tins,46,17,10,25,0,Beverages,Leka Trading,Chandra Leka,Owner
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,53,26.2,15,0,Wellington Importadora,Paula Parente,Sales Manager,Leverling,Janet,Sales Representative,Perth Pasties,24,6,48 pieces,32.8,0,0,0,1,Meat/Poultry,G'day, Mate,Wendy Mackenzie
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,77,10.4,12,0,Wellington Importadora,Paula Parente,Sales Manager,Leverling,Janet,Sales Representative,Original Frankfurter grüne Soße,12,2,12 boxes,13,32,0,15,0,Condiments,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,77,10.4,15,0,HILARION-Abastos,Carlos Hernández,Sales Representative,Peacock,Margaret,Sales Representative,Original Frankfurter grüne Soße,12,2,12 boxes,13,32,0,15,0,Condiments,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,208.58,76,14.4,15,0.15,Frankenversand,Peter Franken,Marketing Manager,Peacock,Margaret,Sales Representative,Lakkalikööri,23,1,500 ml,18,57,0,20,0,Beverages,Karkki Oy,Anne Heikkonen,Product Manager
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,56,30.4,2,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Callahan,Laura,Inside Sales Coordinator,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38,21,10,30,0,Grains/Cereals,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,62,39.4,15,0.25,Ottilies Käseladen,Henriette Pfalzheim,Owner,Peacock,Margaret,Sales Representative,Tarte au sucre,29,3,48 pies,49.3,17,0,0,0,Confections,Forêts d'érables,Chantal Goulet,Accounting Manager
10277,MORGK,2,1996-08-09,1996-09-06,1996-08-13,3,125.77,62,39.4,12,0,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Fuller,Andrew,"Vice President, Sales",Tarte au sucre,29,3,48 pies,49.3,17,0,0,0,Confections,Forêts d'érables,Chantal Goulet,Accounting Manager
10269,WHITC,5,1996-07-31,1996-08-14,1996-08-09,1,4.56,72,27.8,20,0.05,White Clover Markets,Karl Jablonski,Owner,Buchanan,Steven,Sales Manager,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10271,SPLIR,6,1996-08-01,1996-08-29,1996-08-30,2,4.54,33,2,24,0,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Suyama,Michael,Sales Representative,Geitost,15,4,500 g,2.5,112,0,20,0,Dairy Products,Norske Meierier,Beate Vileid,Marketing Manager
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.07,10,24.8,24,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Leverling,Janet,Sales Representative,Ikura,4,8,12 - 200 ml jars,31,31,0,0,0,Seafood,Tokyo Traders,Yoshi Nagase,Marketing Manager
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.07,31,10,15,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Leverling,Janet,Sales Representative,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,0,70,20,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.07,33,2,20,0,QUICK-Stop,Horst Kloss,Accounting Manager,Leverling,Janet,Sales Representative,Geitost,15,4,500 g,2.5,112,0,20,0,Dairy Products,Norske Meierier,Beate Vileid,Marketing Manager
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.07,40,14.7,60,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Leverling,Janet,Sales Representative,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,123,0,30,0,Seafood,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent
